dspKey,measureId,statTime,shows,clicks,requests,responses,wins,cid,adType,costs
bingu-openRTB,5a3282dee4b0ac3f73f4cd2a,2020-11-06 14,0,0,111583,0,0,5,5,0
ipinyou-pd,5a3282dee4b0ac3f73f4cd3a,2020-11-06 15,23,1,118220,25313,177,27,3,0.1265
wangmai-openRTB,5a3282dee4b0ac3f73f4cd28,2020-11-06 15,0,0,1637237,0,0,5,3,0
ipinyou-pd,5a3282dee4b0ac3f73f4cd26,2020-11-06 14,1435,133,205873,4156,1666,36,112,30.135
pengjing-openRTB,5a3282dee4b0ac3f73f4cd26,2020-11-06 14,0,0,83460,0,0,5,1,0
plista,5a3282dee4b0ac3f73f4cd28,2020-11-06 15,1827,26,1795244,33970,19570,5,3,12.789
anx-openRTB,5a3282dee4b0ac3f73f4cd3a,2020-11-06 14,3812,568,110237,26733,26332,27,3,97.78372
360dsp-add,5a3282dee4b0ac3f73f4cd2a,2020-11-06 15,303,12,13889,455,307,29,101,1.515
360dsp-add,5a3282dee4b0ac3f73f4cd28,2020-11-06 15,6733,175,442588,15602,8552,33,95,33.665
wuli-openRTB,5a3282dee4b0ac3f73f4cd26,2020-11-06 14,29957,788,941670,263182,48209,5,1,1534.87036
plista,5a3282dee4b0ac3f73f4cd38,2020-11-06 15,0,0,66516,0,0,27,1,0
fenghuangdsp-openRTB,5a3282dee4b0ac3f73f4cd2a,2020-11-06 15,202,1,221797,5551,307,5,5,1.01
fancy-openRTB,5a3282dee4b0ac3f73f4cd3a,2020-11-06 14,0,0,52683,0,0,27,3,0
360dsp,5a3282dee4b0ac3f73f4cd28,2020-11-06 14,753,63,29765,919,821,29,88,3.765
ruangaoyun,5a3282dee4b0ac3f73f4cd38,2020-11-06 14,403,33,137250,4228,735,27,1,7.63957
360dsp-add,5a3282dee4b0ac3f73f4cd26,2020-11-06 14,5023,725,215023,7648,5996,29,108,75.345
hongtu-openRTB,5a3282dee4b0ac3f73f4cd28,2020-11-06 15,1858,96,31244,4879,2096,29,88,9.32658
ruishi-openRTB,5a3282dee4b0ac3f73f4cd4c,2020-11-06 14,0,0,82765,0,0,27,5,0
pengjing-openRTB,5a3282dee4b0ac3f73f4cd26,2020-11-06 14,0,0,28575,0,0,29,118,0
dongqiudi-openRTB,5a3282dee4b0ac3f73f4cd38,2020-11-06 15,0,0,104328,223,0,27,1,0
appic-openRTB,5a3282dee4b0ac3f73f4cd26,2020-11-06 14,1726,32,941670,34909,3015,5,1,25.90796
biyi-openRTB,5a3282dee4b0ac3f73f4cd28,2020-11-06 15,4032,51,2162077,95255,47851,5,3,24.86756
fancy-openRTB,5a3282dee4b0ac3f73f4cd26,2020-11-06 15,1871,44,1049095,51096,7152,5,1,29.62142
dongqiudi-openRTB,5a3282dee4b0ac3f73f4cd28,2020-11-06 15,0,0,134193,0,0,5,3,0
yubo-openRTB,5a3282dee4b0ac3f73f4cd26,2020-11-06 14,58,2,575130,3157,308,5,1,0.99891
fenghuangdsp-openRTB,5a3282dee4b0ac3f73f4cd28,2020-11-06 15,36,0,317074,10485,388,5,3,0.18
quyuansu-openRTB,5a3282dee4b0ac3f73f4cd36,2020-11-06 14,0,0,91129,0,0,5,24,0
ruishi-openRTB,5a3282dee4b0ac3f73f4cd3a,2020-11-06 15,0,0,54796,0,0,27,3,0
xunfei-openRTB,5a3282dee4b0ac3f73f4cd4c,2020-11-06 14,1764,1,308028,2145,2126,27,5,17.93876
tianjinkuaiyou-openRTB,5a3282dee4b0ac3f73f4cd26,2020-11-06 14,68,5,318075,5337,160,29,118,1.0309
wuli-openRTB,5a3282dee4b0ac3f73f4cd28,2020-11-06 14,11045,171,1959000,141725,124579,5,3,106.43861
zhengshu-openRTB,5a3282dee4b0ac3f73f4cd38,2020-11-06 14,2499,141,137250,16476,4083,27,1,41.80731
jixin-openRTB,5a3282dee4b0ac3f73f4cd26,2020-11-06 14,0,0,100139,0,0,5,1,0
huanrui-openRTB,5a3282dee4b0ac3f73f4cd26,2020-11-06 15,0,0,109623,0,0,5,1,0
wuli-openRTB,5a3282dee4b0ac3f73f4cd2a,2020-11-06 14,342986,1467,2026544,503866,478092,5,5,1749.2304
plista,5a3282dee4b0ac3f73f4cd26,2020-11-06 15,0,0,110377,0,0,5,1,0
youtou-openRTB,5a3282dee4b0ac3f73f4cd26,2020-11-06 15,0,0,109370,0,0,5,1,0
fenghuangdsp-openRTB,5a3282dee4b0ac3f73f4cd4c,2020-11-06 14,9506,45,338392,16869,11644,27,5,47.54799
